num,type,x1,y1,x2,y2
1,src,37.9375,40.0,2842.0625,220.0
1,tgt1,103.9375,370.0,2776.0625,620.0
1,tgt2,87.4375,777.0,2792.5625,957.0
2,src,37.953125,40.0,2842.03125,290.0
2,tgt1,37.953125,440.0,2842.046875,690.0
2,tgt2,37.953125,847.0,2842.046875,1097.0
3,src,21.453125,40.0,2858.546875,220.0
3,tgt1,54.453125,370.0,2792.546875,550.0
3,tgt2,21.46875,707.0,2858.515625,887.0
4,src,21.453125,40.0,2858.546875,220.0
4,tgt1,21.453125,370.0,2858.53125,550.0
4,tgt2,21.453125,707.0,2858.53125,887.0
5,src,54.4375,40.0,2825.546875,220.0
5,tgt1,54.453125,370.0,2825.546875,550.0
5,tgt2,70.953125,707.0,2809.046875,817.0
6,src,20.953125,40.0,2825.03125,290.0
6,tgt1,53.953125,440.0,2792.046875,760.0
6,tgt2,20.953125,917.0,2825.03125,1237.0
7,src,20.953125,40.0,2825.03125,290.0
7,tgt1,37.46875,440.0,2808.515625,760.0
7,tgt2,37.46875,917.0,2808.515625,1237.0
8,src,21.453125,40.0,2858.53125,290.0
8,tgt1,169.90625,440.0,2710.09375,690.0
8,tgt2,37.96875,847.0,2842.03125,1097.0
9,src,103.9375,40.0,2776.0625,220.0
9,tgt1,70.9375,370.0,2809.046875,550.0
9,tgt2,120.421875,707.0,2759.5625,887.0
10,src,54.4375,110.0,2825.546875,290.0
10,tgt1,120.421875,440.0,2825.546875,690.0
10,tgt2,103.9375,847.0,2776.046875,1097.0